,Local authority code,Local authority name,LSOA code,LSOA name,Year ending Dec 2017,Year ending Mar 2018,Year ending Jun 2018,Year ending Sep 2018,Year ending Dec 2018,Year ending Mar 2019,Year ending Jun 2019,Year ending Sep 2019,Year ending Dec 2019,Year ending Mar 2020
25139,E08000025,Birmingham,E01009237,Birmingham 024A,134250,130000,140000,140000,143000,148250,151550,157300,163500,157500
25140,E08000025,Birmingham,E01009238,Birmingham 024B,223000,215000,205500,195750,183000,175995,175995,185000,188000,219000
25141,E08000025,Birmingham,E01009239,Birmingham 033F,147000,142500,136000,120000,120000,115000,117500,:,109000,164000
25142,E08000025,Birmingham,E01009240,Birmingham 024C,141000,142000,150375,152385,152770,153885,152770,151000,158000,163250
25143,E08000025,Birmingham,E01009241,Birmingham 024D,145000,161275,160000,162550,158000,152000,156000,155000,177250,160000
25144,E08000025,Birmingham,E01009242,Birmingham 024E,170500,175500,175000,165000,160000,160000,150000,165000,176885,174942.5
25145,E08000025,Birmingham,E01009243,Birmingham 016B,151500,158000,170500,238725,244950,241000,228950,222475,190500,185000
25146,E08000025,Birmingham,E01009244,Birmingham 019C,173975,168950,168450,166000,164950,162500,161500,165500,168000,169250
25147,E08000025,Birmingham,E01009245,Birmingham 016C,165000,165000,177500,178750,177500,184000,190250,191750,193750,182500
25148,E08000025,Birmingham,E01009246,Birmingham 016D,155500,155000,155000,154500,153500,153500,151500,153000,162500,165000
25149,E08000025,Birmingham,E01009247,Birmingham 016E,145000,153000,160000,160000,163250,165000,165000,170000,170000,175000
25150,E08000025,Birmingham,E01009248,Birmingham 019D,137250,145000,144250,146000,148000,150000,150000,160095,163000,160000
25151,E08000025,Birmingham,E01009249,Birmingham 080A,172500,172500,172250,173775,173775,170000,170000,178475,180750,187499.5
25152,E08000025,Birmingham,E01009250,Birmingham 080B,183500,193500,193500,177000,170000,161500,202500,217000,216000,215000
25153,E08000025,Birmingham,E01009251,Birmingham 080C,207250,215000,218250,224000,216750,245000,245000,245000,261250,262500
25154,E08000025,Birmingham,E01009252,Birmingham 073C,323000,271250,277500,275000,310000,320000,362875,405000,412500,387500
25155,E08000025,Birmingham,E01009253,Birmingham 080D,216750,227500,230000,230000,244250,235000,248500,255000,248500,257000
25156,E08000025,Birmingham,E01009254,Birmingham 085C,307497.5,307497.5,260000,282500,207500,212500,199950,188000,188000,182475
25157,E08000025,Birmingham,E01009255,Birmingham 080E,147000,145000,145000,145000,163975,167000,180000,180000,180000,167500
25158,E08000025,Birmingham,E01009256,Birmingham 085D,182000,175000,175000,154000,149500,169000,170000,170000,174500,188000
25159,E08000025,Birmingham,E01009257,Birmingham 080F,141000,136500,136500,136500,135000,145500,144500,159000,160000,160000
25160,E08000025,Birmingham,E01009258,Birmingham 085E,127500,120000,119000,116500,116500,140000,140000,130000,127500,128750
25161,E08000025,Birmingham,E01009259,Birmingham 094E,125000,116250,125000,130000,125000,131000,132000,131000,133000,146500
25162,E08000025,Birmingham,E01009260,Birmingham 073D,347500,339250,331000,297000,276050,280000,311000,302500,280000,295000
25163,E08000025,Birmingham,E01009261,Birmingham 073E,273995,274995,250000,228000,235000,230526.5,197950,199450,199950,194950
25164,E08000025,Birmingham,E01009262,Birmingham 133A,199500,184500,225000,200000,240000,235500,235500,240000,240500,250000
25165,E08000025,Birmingham,E01009263,Birmingham 032C,89000,188500,196000,184500,184500,107500,95000,90000,134250,187000
25166,E08000025,Birmingham,E01009264,Birmingham 032D,120000,119500,119500,120000,119500,120000,:,129000,132000,132000
25167,E08000025,Birmingham,E01009265,Birmingham 032E,130000,149000,130000,124000,136000,121000,124750,130500,128000,140000
25168,E08000025,Birmingham,E01009266,Birmingham 034A,110000,113250,115000,115000,115000,126975,124000,120000,120000,110500
25169,E08000025,Birmingham,E01009267,Birmingham 133B,225000,225000,228500,278000,246500,256000,252000,260000,265000,285000
25170,E08000025,Birmingham,E01009268,Birmingham 036A,142750,142750,162000,167500,172500,170000,170000,170000,175000,180000
25171,E08000025,Birmingham,E01009269,Birmingham 034B,100000,102000,103000,105000,110000,110000,110000,105500,105000,104500
25172,E08000025,Birmingham,E01009270,Birmingham 034C,121000,121000,120000,130975,124000,129000,139975,145000,159250,159250
25173,E08000025,Birmingham,E01009271,Birmingham 034D,111250,112500,118000,126000,128000,127000,125000,125000,:,120000
25174,E08000025,Birmingham,E01009272,Birmingham 036B,143000,139000,135000,:,139000,164500,161000,156250,156250,145750
25175,E08000025,Birmingham,E01009273,Birmingham 034E,111750,130000,152000,141000,155000,155000,155000,160500,170000,172500
25176,E08000025,Birmingham,E01009274,Birmingham 036C,127000,115000,115000,130000,130000,142500,145000,:,162500,147500
25177,E08000025,Birmingham,E01009275,Birmingham 039A,110000,108500,108500,108500,:,:,127500,120000,120000,125000
25178,E08000025,Birmingham,E01009276,Birmingham 133C,163725,163725,165000,171500,180250,205150,205300,205000,220000,228000
25179,E08000025,Birmingham,E01009278,Birmingham 133D,207500,218500,255250,247000,247000,248500,250000,245000,250000,246000
25180,E08000025,Birmingham,E01009279,Birmingham 133E,222000,185500,187750,190000,220000,222500,247500,265000,260500,260500
25181,E08000025,Birmingham,E01009280,Birmingham 100A,241000,230000,239995,239995,244497.5,247497.5,247497.5,260000,241500,260000
25182,E08000025,Birmingham,E01009281,Birmingham 099A,379995,317500,240000,240000,240000,242500,245000,250000,320000,397500
25183,E08000025,Birmingham,E01009282,Birmingham 100B,191725,187000,194975,197475,208000,209950,209950,216000,205000,212000
25184,E08000025,Birmingham,E01009283,Birmingham 079E,284950,292150,300000,305000,300000,300000,300000,298750,287000,287500
25185,E08000025,Birmingham,E01009284,Birmingham 096A,264497.5,256500,249995,239000,169995,169995,169995,169995,169995,169995
